fpid,doi,impact_matrix,factor1_title,factor1_direction,factor2_title,factor2_direction,factor3_title,factor3_direction,factor4_title,factor4_direction,factor5_title,factor5_direction,factor6_title,factor6_direction,factor7_title,factor7_direction,factor8_title,factor8_direction
Landscape features; Agroforestry practices and systems,10.1016/j.agee.2017.04.015,Crop yield,Distance to field edge; hedgerow width to height ratio,"Crop yield was significatively affected by the ratio between the distance from the hedgerow and the width of hedgerow, with increasing crop yield when the ratio increses. Between D/H = 0.0 and D/H = 2.1 (D/H, which is the ratio of the distance from the hedgerow to the height of the hedgerow). Average relative crop yield in this zone was 79%. At D/H = 0.5, relative crop yield was 68%; at D/H = 1, relative crop yield was 85%. Between D/H = 2.1 and D/H = 20.4, crop yield was positively aﬀected by the hedgerow: at D/H= 2.5 (25 m from a 10- m-high HR), relative crop yield was 103% and at D/H= 5.0 (50 m from a 10-m-high HR), relative crop yield was 109%.; Negative impact at lower D/H values (up to 2.1), positive beyond D/H = 2.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features; Agroforestry practices and systems,10.1016/j.agee.2017.04.015,Nutrient leaching and run-off,Field edge width; hedgerow width to height ratio,"The wider the grass strip, the more P and N were intercepted. As well, the wider the hedgerow, the more N was intercepted.; N Interception (Surface): Positive influence (0.22). N Interception (Subsurface): Positive influence (1.42). P Interception: Positive influence (0.38).
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features; Agroforestry practices and systems,10.1016/j.agee.2017.04.015,Pests and diseases,hedgerow width to height ratio,Pest Control (Predator Density): Positive influence (2.32). Pest Control (Predator Diversity): Positive influence (1.53). Pest Control (Aphid Density): Positive influence (0.90).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features; Agroforestry practices and systems,10.1016/j.agee.2017.04.015,Soil erosion,Field edge width; hedgerow width to height ratio,"The wider the grass strip, the more soil sediment was intercepted.; Soil Sediment Interception: Positive influence (1.30).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.agee.2017.08.007,Soil biological quality,Soil depht,"When grouped by soil depth, grazing significantly increased soil microbial community size by 3.12 and 4.00% at 0–10 and>30 cm soil depth. In contrast, grazing significantly decreased soil microbial community size by 8.61 and 15.92% in 10–20 and 20–30 cm soil depth. Then, grazing significantly decreased fungal community size by 16.64, 12.96 and 56.66% at the 10–20, 20–30 and>30 cm soil depth; while it significantly increased fungal community about 22.45% in 10–20 cm soil depth. Lasty, grazing significantly decreased bacterial community size by 8.17, 21.20, 18.12 and 69.52% at 0–10, 10–20, 20–30 and>30 cm soil depth.",Duration of treatment,"Grazing significantly decreased soil microbial community size by 10.43 (< 10 years) and 33.1% (> 20 years), while increased by 22.67% in 10–20 yr under light, moderate and heavy grazing. Specifically, the heavy grazing intensity significantly decreased by 15.74 and 37.38% in>10 yr and>20 yr, respectively, but no significant decrease was found in light, moderate grazing intensity in<10 yr, 10–20 yr and>20 yr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops,10.1016/j.agee.2017.09.029,Crop yield,Mean yield,"The largest relative increases in grain yields in a cereal crop following a legume were observed when the control yield of continuous cereals was small, and declined exponentially with larger control yields",Agro-ecological areas,"Grain yields of cereals varied among AEZs . Generally, cereals yielded poorly in the Sudano-Sahelian zone, presumably due to low and erratic rainfall leading to soil moisture stress.
Smaller mean yield increases that were not significant were observed after grain legumes in the Sudano-Sahelian zone, as well as the humid forest/derived savannah of West Africa. Studies from the Guinea savannah of West Africa and from southern Africa and East Africa reported larger, significant cereal yield responses to rotation with legumes.",Crop type,"The yield responses of millet and sorghum to a preceding legume were smaller and not significant, in contrast to maize showing larger and significant responses. All legume types had a significant residual effect on cereal yield. A significant interaction between legume type and yield response was observed, and the mean effects from soybean and groundnut were larger than from cowpea",Mineral fertiliser addition,"The application of 15–50 kg N ha−1 reduced the relative response of cereals from 56% (compared to no N applied) to 42%, and applying 60–120 kg N ha−1 further reduced it to 17%. Also the
absolute response declined from 0.54 to 0.32 t ha−1 from no N to 60–120 kg N ha−1 applied. Nevertheless, the yield response to a preceding legume was significant in all N application classes.",NA,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers,10.1016/j.agee.2017.10.008,Crop yield,Fertiliser rate,Yields increase is more evident under suboptimal N rates.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.agee.2017.10.023,Carbon sequestration,Climate,"At all grazing intensity levels, grazing increased SOC stocks under the moist warm climate (+7.6%), but decreased them under the moist cool climate (−19.5%). However, for the dry warm and dry cool climates, only the low (+5.8%) and low to medium (+16.1%) grazing intensities, respectively, led to increases in SOC.",Plant type,"An ANOVA for grass photosynthetic pathway type (C3, C4 and mixed) showed that there was a significant difference (p = 0.003) with C4 grasslands increasing SOC by 0.056 (5.6%; StDev = 0.341), and C3 grasses and mixed grass decreasing SOC by −0.155 (−15.5%; StDev = 0.233) and −0.25 (−25%; StDev = 0.435), respectively.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.agee.2017.10.023,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.agee.2017.11.032,Carbon sequestration,Time after establishment,Above-ground carbon sequestration varies with time since implementation. This increment is larger if the previous land use is degraded or grassland.,Pedo-climate,"The sequestration potential of the above ground plant components is lower in arid, semiarid, and temperate regions than in tropical regions and in degraded sites, carbon sequestration potential is also lower than in fertile humid sites.",agroforestry type,Values will afterward depend on the agroforestry system.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.agee.2017.12.025,Pollination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.agee.2018.07.014,Carbon sequestration,age of agroforest,NA,soil depth,NA,agroforestry type,NA,pedo-climate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1016/j.agee.2018.07.019,Crop yield,Straw addition rate,Crop yield was positively correlated with the residue application rate.,Duration of treatment,There was significant between-group heterogeneity among the different durations (Qb=24.4; P<0.001). Crop yield after 3–15 y (+10.8%) or 15 y residue application (+14.0%) was significantly greater than that in the first 3 years (+4.6%).,Mineral fertiliser addition,Chemical N fertiliser decreased the positive responses of crop yield to crop residue return,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1016/j.agee.2018.07.019,GHG emissions,Cropping system type,"Crop residue returns were found to have an effect in upland fields but not paddy fields, with an increase in N2O emission (+16.6%).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1016/j.agee.2018.07.019,Nutrient leaching and run-off,Cropping system type,"Crop residue returns were found to have an effect in upland fields but not paddy fields, with a decrease in N leaching (−9.1%).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1016/j.agee.2018.07.019,Plant nutrient uptake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1016/j.agee.2018.07.019,Soil biological quality,Cropping system type,Crop residue return was also seen to have a greater stimulating effect on MBN in paddy fields (+61.3%) than in upland fields (+27.0%).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1016/j.agee.2018.07.019,Soil nutrients,Cropping system type,"Crop residue return decreased NO3− concentration by 12.6% in paddy fields, with a minor effect in upland field.",Straw addition rate,Soil total nitrogen was positively correlated with the residue application rate.,Mineral fertiliser addition,Chemical N fertiliser decreased the positive responses of STN to crop residue return.,Type of application,There was significant between-group heterogeneity among different methods of crop residue placement (Qb=4.56; P<0.05). The percent increase in STN pool was marginally higher with the incorporation of crop residues into the soil (12.5%) than with mulching (+7.7%).,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1016/j.agee.2018.09.002,Crop yield,Climate,"The effect of NT on crop yield in different climates was not consistent. In arid climates, NT soil management caused 10.2% greater crop yield, but in humid climates, NT decreased yield by 7.5%, compared to CT.",Soil texture,"Generally, soil texture had no statistically significant effect on the difference between NT and CT in crop yield.",Soil pH,NT signficantly improved yield (13.1%) in alkaline soils.,N application rate,NT enhanced crop yield (25.2%) at the low fertilizer N rate (< 100 kg N ha−1yr−1).,Crop residue management,Changes in crop yield due to NT were not influenced by residue management.,Tillage duration,The duration of NT had no impact on the differences in crop yield.,Crop type,"Crop yield differences between NT and CT were significant in barley and maize production systems, with barley yield being 49% higher and maize yield 9.3% lower in NT.",NA,NA
No tillage and reduced tillage,10.1016/j.agee.2018.09.002,GHG emissions,Climate,"Compared to CT, NT significantly decreased CO2 emission (-9.9%) in dry climates, but not in humid climates. Significant reductions in soil CH4 emission (-18.9%) with NT occurred in humid climates. NT increased soil CH4 uptake (47%) in humid climates.  Although climate did not significantly affect the difference in N2O emission between the tillage practices, N2O emission in NT was greater (12.3%) than in CT for humid climates.",Soil texture,"In fine textured soils, NT resulted in significantly higher (32.2%) N2O emission.",Soil pH,"With NT, CO2 emission was significantly lower, by 15.3% and 18.4%, in acidic and neutral soils, respectively. No-tillage significantly reduced CH4 emission by 25.2% in acidic soils. A significant decrease (31.2%) was found in CH4 uptake in neutral soils with NT. Differences in N2O emissions between NT and CT were not significantly influenced by soil pH although there was a nearly 15% greater emission from acidic soils in NT. No-tillage decreased GWP by 31.2% in acidic soils. However, with the realization that fluxes of all three GHGs were reported in few studies comparing NT and CT, these results were likely affected by publication bias, and therefore should be interpreted cautiously.",N application rate,"Compared to CT, NT significantly reduced CH4 emission (24.7%) at the medium N fertilizer rate (100–200 kg N/ha/yr). Compared to CT, NT significantly resulted in higher N2O emission (16.7%) at the high fertilizer rate (> 200 kg N/ha/yr).",Crop residue management,"With crop residue removal, CO2 emission was significantly lower (-15.8%) in NT compared to CT. However, with residue retention, there was no significant difference in CO2 emission between the tillage practices.",Tillage duration,"The duration of NT had inconsistent effects on CO2 emission. Emission of CO2 was reduced by 13.3%  with short NT duration, but there was no difference between NT and CT for studies where NT duration was longer than 5 years. The duration of NT had inconsistent effect on CH4 emission. Emission of CH4 was reduced by 21.4% with short NT duration, but there was no difference between NT and CT for studies where NT duration was longer than 5 years.",Crop type,"The difference in CO2 emission between NT and CT was largest with rice, where NT soils emitted 22.5% less CO2 than CT soils. There were no significant differences in CO2 emission between the tillage practices in barley or maize production systems. No tillage reduced CH4 emission in rice production systems by 22.4% , but it increased CH4 uptake in wheat by 31.1% There were no significant differences in CH4 flux between the tillage practices in barley or maize production systems. There were no significant differences in CH4 flux between the tillage practices in barley or maize production systems. Changes in N2O emission between NT and CT were only significantly different with wheat production, where a 15.2% increase in emission under NT was noted. No-tillage decreased GWP by 24.8% in rice fields. However, with the realization that fluxes of all three GHGs and crop yield was reported in few studies comparing NT and CT, these results were likely affected by publication bias, and therefore should be interpreted cautiously.",NA,NA
