"fpid","doi","population","intervention","intervention_matrix","control","control_matrix","metric","metric_positive_effect","effect_size","impact_matrix","impact_positive_effect","positive","negative","no_effect","uncertain","results_level","results_qtype","results_statistics","results_1","results_2","results_3","results_nb_of_trials","results_nb_of_papers","results_threshold","i_c_shift","metric_std2","metric_unit","sustainability_outcome","f_pclass_tier0","policy_class_codes","policy_class_names","scale","population_name1","population_value1","population_name2","population_value2","population_name3","population_value3","population_name4","population_value4","population_name5","population_value5","population_name6","population_value6"
"Intercropping","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Crop mixture cropping","Monoculture","monoculture","Soil available water (top 30 cm soil depth)","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil water retention","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil water",NA,"Soil health","Crop rotation and diversification","R15+R121","Mixed cropping / intercropping  (R15) Cultivation of Nitrogen fixing/protein crops (R121)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Intercropping","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Crop mixture cropping","Monoculture","monoculture","Striga hermonthica emergence","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Crop rotation and diversification","R15+R121","Mixed cropping / intercropping  (R15) Cultivation of Nitrogen fixing/protein crops (R121)","Africa","geographical coverage",">20 African countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Intercropping","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Crop mixture cropping","Monoculture","monoculture","Total nitrogen","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil nutrients","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil nitrogen",NA,"Soil health","Crop rotation and diversification","R15+R121","Mixed cropping / intercropping  (R15) Cultivation of Nitrogen fixing/protein crops (R121)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Intercropping","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Crop mixture cropping","Monoculture","monoculture","Water infiltration","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil physico-chemical quality","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil water infiltration",NA,"Soil health","Crop rotation and diversification","R15+R121","Mixed cropping / intercropping  (R15) Cultivation of Nitrogen fixing/protein crops (R121)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Intercropping","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Crop mixture cropping","Monoculture","monoculture","Water runoff","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil erosion","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Water run-off",NA,"Soil health","Crop rotation and diversification","R15+R121","Mixed cropping / intercropping  (R15) Cultivation of Nitrogen fixing/protein crops (R121)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Intercropping","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Crop mixture cropping","Monoculture","monoculture","Weed biomass","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Crop rotation and diversification","R15+R121","Mixed cropping / intercropping  (R15) Cultivation of Nitrogen fixing/protein crops (R121)","Africa","geographical coverage",">20 African countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Legumes in intercropping/mixed cropping","Monoculture","No intercropping","Borer larvae abundance","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"pest",NA,"Biodiversity","Crop rotation and diversification","R121+R15","Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)","Africa","geographical coverage",">20 African countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Legumes in intercropping/mixed cropping","Monoculture","No intercropping","Sediment generation","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil erosion","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil erosion parameters",NA,"Soil health","Crop rotation and diversification","R121+R15","Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Legumes in intercropping/mixed cropping","Monoculture","No intercropping","Soil available water (top 30 cm soil depth)","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil water retention","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil water",NA,"Soil health","Crop rotation and diversification","R121+R15","Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Legumes in intercropping/mixed cropping","Monoculture","No intercropping","Striga hermonthica emergence","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Crop rotation and diversification","R121+R15","Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)","Africa","geographical coverage",">20 African countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Legumes in intercropping/mixed cropping","Monoculture","No intercropping","Total nitrogen","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil nutrients","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil nitrogen",NA,"Soil health","Crop rotation and diversification","R121+R15","Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Legumes in intercropping/mixed cropping","Monoculture","No intercropping","Water infiltration","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil physico-chemical quality","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil water infiltration",NA,"Soil health","Crop rotation and diversification","R121+R15","Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Legumes in intercropping/mixed cropping","Monoculture","No intercropping","Water runoff","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil erosion","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Water run-off",NA,"Soil health","Crop rotation and diversification","R121+R15","Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Legumes in intercropping/mixed cropping","Monoculture","No intercropping","Weed abundance (biomass)","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"weed",NA,"Biodiversity","Crop rotation and diversification","R121+R15","Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)","Africa","geographical coverage",">20 African countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"No tillage and reduced tillage","10.2134/jeq2017.03.0121","Soybean, corn, wheat systems","No-till (NT, defined as zero tillage)","No tillage","Conventional tillage (CT, defined as land management practice involving various types of tillage implements, e.g., moldboard, rotary, chisel, and disking)","Conventional tillage","Concentration of dissolved P in agricultural runoff and leaching","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Nutrient leaching and run-off","decrease",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Phosphorous loss or run-off",NA,"Pollution","Soil management","S12","No tillage (S12)","Mainly North America, one study in Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"No tillage and reduced tillage","10.2134/jeq2017.03.0121","Soybean, corn, wheat systems","No-till (NT, defined as zero tillage)","No tillage","Conventional tillage (CT, defined as land management practice involving various types of tillage implements, e.g., moldboard, rotary, chisel, and disking)","Conventional tillage","Concentration of particulate P in agricultural runoff and leaching","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Nutrient leaching and run-off","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Phosphorous loss or run-off",NA,"Pollution","Soil management","S12","No tillage (S12)","Mainly North America, one study in Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/gcb.14535","Rangelands in arid, semiarid, and Mediterranean climates","Organic amendment","Soil organic amendment","No amendment","No amendment","Runoff nitrate","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Nutrient leaching and run-off","decrease",0,1,0,0,"Grand-mean","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.3382624768946301","0.55822550831792905","2.1219963031423101","57","8","0",0,"Nitrogen run-off",NA,"Pollution","Grassland and grazing","F4x,F111|","Use of specific fertilizer types or manure  (F4x) Ban on organic fertiliser (F111)","Global","treatment duration","short ≤5 yrs: median 1.5 years; min 7 days; 25th quartile: 0.75 years; 75th quartile: 4 years; max 23 years.","pedo-climatic conditions","Rangelands in arid, semiarid, and Mediterranean climates (Observations: 175 dryland, 62 MEditerranean; Experiments: 16 dryland, 9 Mediterranean).",NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/gcb.14535","Rangelands in arid, semiarid, and Mediterranean climates","Organic amendment","Soil organic amendment","No amendment","No amendment","Runoff nitrate","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Nutrient leaching and run-off","decrease",0,0,1,0,"Subgroup-1","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","0.45945945945945799","-0.37837837837837901","1.29729729729729","7",NA,"0",0,"Nitrogen run-off",NA,"Pollution","Grassland and grazing","F4x,F111|","Use of specific fertilizer types or manure  (F4x) Ban on organic fertiliser (F111)","Global","treatment duration","short ≤5 yrs: median 1.5 years; min 7 days; 25th quartile: 0.75 years; 75th quartile: 4 years; max 23 years.","pedo-climatic conditions","Rangelands in arid, semiarid, and Mediterranean climates (Observations: 175 dryland, 62 MEditerranean; Experiments: 16 dryland, 9 Mediterranean).",NA,NA,NA,NA,NA,NA,NA,NA
