"sustainability_outcome","impact_matrix","impact_positive_effect","metric_std2","metric","metric_positive_effect","metric_unit","doi","fpid"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","Concentration of total P in agricultural runoff and leaching","decrease",NA,"10.2134/jeq2017.03.0121","No tillage and reduced tillage"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","Load of dissolved P in agricultural runoff and leaching","decrease",NA,"10.2134/jeq2017.03.0121","No tillage and reduced tillage"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","Load of particulate P in agricultural runoff and leaching","decrease",NA,"10.2134/jeq2017.03.0121","No tillage and reduced tillage"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","Load of total P in agricultural runoff and leaching","decrease",NA,"10.2134/jeq2017.03.0121","No tillage and reduced tillage"
"Biodiversity","Biodiversity","Increase","Ecological parameters (benthos)","Benthos abundance","increase",NA,"10.1111/1365-2664.12892","Grazing management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Canopy height","increase",NA,"10.1111/1365-2664.12892","Grazing management"
"Biodiversity","Biodiversity","Increase","Functional parameters (detritivore)","Detritivore abundance","increase",NA,"10.1111/1365-2664.12892","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (vertebrate)","Vertebrate abundance","increase",NA,"10.1111/1365-2664.12892","Grazing management"
"GHG emissions","GHG emissions","Decrease","methane emission (total)","Methane emission","decrease",NA,"10.3390/ijerph19127324","No irrigation"
"Agricultural production","Grassland production","Increase","forage yield","Biomass","increase",NA,"10.1111/j.1466-8238.2011.00652.x","Grassland management"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","Nitrogen-induced GHG emissions (N2O)","decrease",NA,"10.1021/es4055324","Crop rotation"
"Sustainable use of resources","Plant nutrient uptake","Increase","Nitrogen use efficiency","Agronomic efficiency of nitrogen (AEN)","increase",NA,"10.1016/j.fcr.2018.08.001","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon stock (>100cm)","increase",NA,"10.1046/j.1354-1013.2002.00486.x","Grassland conservation and restoration"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon stock (>20 cm)","increase",NA,"10.1046/j.1354-1013.2002.00486.x","Grassland conservation and restoration"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon stock (20-60cm)","increase",NA,"10.1046/j.1354-1013.2002.00486.x","Grassland conservation and restoration"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon stock (60-100 cm)","increase",NA,"10.1046/j.1354-1013.2002.00486.x","Grassland conservation and restoration"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon stock","increase","C t /ha","10.1046/j.1354-1013.2002.00486.x","Grassland conservation and restoration"
"Sustainable use of resources","Plant nutrient uptake","Increase","Nitrogen use efficiency","Recovery efficiency of nitrogen (REN)","increase",NA,"10.1016/j.fcr.2018.08.001","Crop residue management"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Soil erosion","decrease",NA,"10.1016/j.iswcr.2021.08.001","Crop residue management"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Surface run-off","decrease",NA,"10.1016/j.iswcr.2021.08.001","Crop residue management"
"Biodiversity","Biodiversity","Increase","Ecological parameters (plant)","Vegetation cover","increase",NA,"10.1007/s12237-019-00536-y","Wetland conservation and restoration"
"Soil health","Soil water retention","Increase","Soil water","Available water content (AWC)","increase",NA,"10.1016/j.scitotenv.2020.136857","Soil amendment with biochar"
"Soil health","Soil water retention","Increase","Soil water","Field capacity water content","increase",NA,"10.1016/j.scitotenv.2020.136857","Soil amendment with biochar"
"Soil health","Soil water retention","Increase","Soil water","Permanent wilting point (PWP)","increase",NA,"10.1016/j.scitotenv.2020.136857","Soil amendment with biochar"
"Soil health","Soil physico-chemical quality","Increase","Soil porosity","Soil total porosity","increase",NA,"10.1016/j.scitotenv.2020.136857","Soil amendment with biochar"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","N2O emissions along the whole year","decrease",NA,"10.1007/s10705-017-9836-z","Cover and catch crops"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","N2O emissions during cash crop season","decrease",NA,"10.1007/s10705-017-9836-z","Cover and catch crops"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","N2O emissions during cash crop season and whole year","decrease",NA,"10.1007/s10705-017-9836-z","Cover and catch crops"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","N2O emissions during cover crop season","decrease",NA,"10.1007/s10705-017-9836-z","Cover and catch crops"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","Area-scaled GWP","decrease","CO2-eq","10.1016/j.agee.2012.10.009","Water-saving irrigation practices in flooded lands"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil) (product based)","Yield-scaled global warming potential","decrease",NA,"10.1016/j.agee.2012.10.009","Water-saving irrigation practices in flooded lands"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","Area-scaled N2O emissions","decrease",NA,"10.1007/s10705-017-9836-z","Crop rotation"
"Pollution","Eutrophication (LCA)","Decrease","Eutrophication potential","Eutrophication potential","decrease","PO4 equivalents","10.1088/1748-9326/aa6cd5","Livestock feeding techniques"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield (%)","increase","%","10.1016/j.scitotenv.2018.09.105","Mulching"
"Agricultural production","Crop yield","Increase","Crop yield","Residual plastic effect on yield","increase","%","10.1016/j.scitotenv.2018.09.105","Mulching"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Leaf water use efficiency","increase",NA,"10.1016/j.fcr.2020.107763","Soil amendment with biochar"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Plant water use efficiency","increase",NA,"10.1016/j.fcr.2020.107763","Soil amendment with biochar"
"Soil health","Soil nutrients","Increase","Soil calcium","Soil Ca ion","increase",NA,"10.1016/j.agwat.2021.106986","Water-saving irrigation practices in non-flooded lands"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Grain number","increase",NA,"10.1016/j.jclepro.2017.06.085","No irrigation"
"Soil health","Soil physico-chemical quality","Increase","Soil salinity","Soil Na ion","decrease",NA,"10.1016/j.agwat.2021.106986","Water-saving irrigation practices in non-flooded lands"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Grain weight","increase",NA,"10.1016/j.jclepro.2017.06.085","No irrigation"
"Pollution","Anti-microbial resistance ","Decrease","Anti-microbial resistance ","Ratio between: Antibiotic resistance genes (ARG) and mobile genetic elements (MGE). (ARG/MGE)","decrease",NA,"10.1186/s13750-020-0187-x","Manure processing techniques"
"Agricultural production","Grassland production","Increase","Net primary productivity","Aboveground net primary production","increase",NA,"10.1111/gcb.14535","Grassland management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant biodiversity (species richness, evenness or combined index)","increase",NA,"10.1111/gcb.14535","Grassland management"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal content","Soil lead (Pb)","decrease",NA,"10.1111/gcb.14535","Grassland management"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Spike number","increase",NA,"10.1016/j.jclepro.2017.06.085","No irrigation"
"Soil health","Soil water retention","Increase","Soil water","Soil water holding capacity","increase",NA,"10.1111/gcb.14535","Grassland management"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","Area-scaled N2O emission (kgN /ha)","decrease","% of total N","10.1016/j.scitotenv.2020.140696","Soil amendment with biochar"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","N2O emission factor","decrease","% of total N","10.1016/j.scitotenv.2020.140696","Soil amendment with biochar"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","N2O emission factors","decrease",NA,"10.1016/j.scitotenv.2020.140696","Water-saving irrigation practices in non-flooded lands"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Crop water productivity","increase",NA,"10.1016/j.scitotenv.2020.140696","Water-saving irrigation practices in non-flooded lands"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","Yield-scaled N2O emissions","decrease",NA,"10.1016/j.scitotenv.2020.140696","Water-saving irrigation practices in non-flooded lands"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","Yield-scaled N2O emission (kgN /ton crop harvested)","decrease","N kg /ton crop harvested","10.1016/j.scitotenv.2020.140696","Soil amendment with biochar"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","CO2eq emission","decrease",NA,"10.1371/journal.pone.0262120","Mulching"
"Sustainable use of resources","Water use","Decrease","Water consumption","Water consumption","decrease",NA,"10.1016/j.agwat.2021.107422","Mulching"
"Agricultural production","Crop yield","Increase","Crop yield stability","Yield gap change rate (%)","increase","%","10.1016/j.agwat.2021.107422","Mulching"
"Sustainable use of resources","Water use","Decrease","Water input","Irrigation water amount","decrease",NA,"10.1016/j.jclepro.2019.118928","Water-saving irrigation practices in flooded lands"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Irrigation water productivity","increase",NA,"10.1016/j.jclepro.2019.118928","Water-saving irrigation practices in flooded lands"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial biomass phosphorus","increase",NA,"10.1111/geb.13028","Grazing management"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (organic fertilisers)","N2O emissions (Area-scaled )","decrease",NA,"10.1007/s10705-017-9836-z","Organic fertilisation"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (organic fertilisers)","N2O emissions (Yield-scaled)","decrease",NA,"10.1007/s10705-017-9836-z","Organic fertilisation"
"Agricultural production","Crop yield","Increase","Crop yield","Marketable tuber rate","increase","%","10.1016/j.fcr.2020.108026","Mulching"
"Agricultural production","Grassland production","Increase","Net primary productivity (grass)","Grass biomass","increase","DM kg /ha /day","10.3389/fenvs.2022.949185","Agroforestry practices and systems"
"Sustainable use of resources","Water use","Decrease","Water input","Water supply","decrease",NA,"10.1016/j.jclepro.2017.06.085","Water-saving irrigation practices in non-flooded lands"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield (CY)","increase","t /ha","10.1111/gcbb.12720","Soil amendment with biochar"
"Agricultural production","Crop yield","Increase","Plant productivity parameters","Leaf area (LA)","increase",NA,"10.1111/gcbb.12720","Soil amendment with biochar"
"Agricultural production","Crop yield","Increase","Net primary productivity","shoot biomass (SB)","increase",NA,"10.1111/gcbb.12720","Soil amendment with biochar"
"Agricultural production","Crop yield","Increase","Net primary productivity","Total biomass","increase",NA,"10.1111/gcbb.12720","Soil amendment with biochar"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant richness","increase",NA,"10.1111/oik.04893","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (invertebrate)","Crustacean density","increase",NA,"10.1007/s12237-019-00630-1","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (fish)","Fish density","increase",NA,"10.1007/s12237-019-00630-1","Wetland conservation and restoration"
